# Round IDX	Bin Idx	Sum	Feature IDs
0	1	1971	gp_8,gp_19,gp_31
0	2	2047	gp_20,gp_5,gp_28,gp_10,gp_2
0	3	1915	gp_16,gp_36,gp_38
0	4	2007	gp_14,gp_21,gp_17,gp_39
0	5	2097	gp_1,gp_3,gp_37,gp_9,gp_30
0	6	2058	gp_23,gp_15,gp_27,gp_22
0	7	2033	gp_25,gp_0,gp_35
0	8	1994	gp_29,gp_11,gp_12
0	9	1968	gp_24,gp_18,gp_32,gp_7
0	10	2096	gp_34,gp_13,gp_6,gp_4,gp_33,gp_26
1	1	2095	gp_69,gp_76,gp_54,gp_75
1	2	2061	gp_63,gp_66,gp_61,gp_77,gp_72,gp_46,gp_60
1	3	1969	gp_41,gp_65,gp_45
1	4	1943	gp_42,gp_67,gp_73
1	5	1355	gp_70,gp_74
1	6	1907	gp_68,gp_58,gp_48,gp_71
1	7	1900	gp_64,gp_62,gp_40
1	8	1974	gp_56,gp_51,gp_50
1	9	2017	gp_59,gp_57,gp_53,gp_52
1	10	1938	gp_47,gp_44,gp_79,gp_78
1	11	1999	gp_49,gp_55,gp_43
2	1	1948	gp_90,gp_89,gp_118,gp_106
2	2	1913	gp_98,gp_96,gp_116
2	3	1962	gp_111,gp_85,gp_112
2	4	2054	gp_107,gp_95,gp_88
2	5	1912	gp_84,gp_80,gp_102
2	6	1974	gp_94,gp_101,gp_115,gp_104,gp_100
2	7	1925	gp_119,gp_114,gp_105
2	8	1929	gp_93,gp_87,gp_81,gp_103,gp_83
2	9	1993	gp_117,gp_82,gp_108
2	10	2044	gp_109,gp_86,gp_110
2	11	1895	gp_92,gp_99
2	12	1964	gp_113,gp_91,gp_97
3	1	2100	gp_144,gp_146,gp_134,gp_121
3	2	1952	gp_138,gp_140,gp_147,gp_122
3	3	1262	gp_143,gp_131
3	4	1928	gp_139,gp_127,gp_130
3	5	1930	gp_132,gp_128,gp_145,gp_133
3	6	1916	gp_148,gp_129,gp_120,gp_137
3	7	1940	gp_123,gp_149,gp_125,gp_142,gp_136
3	8	2130	gp_141,gp_124,gp_126,gp_135
